acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,total_acc,total_gyro,roll_avg_acc_X,roll_avg_acc_Y,roll_avg_acc_Z,roll_avg_gyro_X,roll_avg_gyro_Y,roll_avg_gyro_Z,tlt_X,tlt_Y,Still_Time,fall
-7.54,-0.82,-5.36,-0.28,0.01,0.28,9.28,0.4,-7.87,-0.53,-3.53,-0.09,0.24,0.16,-171.34,-125.41,12618.0,0.0
-9.03,-1.51,-4.52,-0.11,-0.15,0.28,10.21,0.33,-7.8,-0.59,-3.9,-0.13,0.2,0.18,-161.5,-116.58,12822.0,0.0
-8.05,0.55,-5.56,0.09,-0.87,0.38,9.8,0.95,-8.05,-0.77,-4.02,-0.12,0.13,0.2,174.4,-124.66,13026.0,0.0
-10.39,-0.74,-4.23,-0.06,-0.9,0.32,11.24,0.96,-8.05,-0.51,-4.33,-0.08,-0.07,0.24,-170.08,-112.15,13230.0,0.0
-9.57,3.64,-1.09,0.46,0.15,-0.11,10.3,0.5,-8.51,-0.56,-4.31,-0.08,-0.24,0.25,106.73,-96.52,13434.0,0.0
-7.4,0.77,-2.38,0.23,-0.34,-0.12,7.81,0.43,-8.73,0.28,-3.67,0.03,-0.16,0.18,162.12,-107.79,13638.0,0.0
-9.94,1.11,-1.81,-0.34,0.64,-0.28,10.16,0.78,-8.46,0.38,-3.41,0.07,-0.19,0.12,148.39,-100.29,13842.0,0.0
-11.38,0.5,-1.93,0.29,-0.38,0.05,11.55,0.48,-8.76,0.53,-3.09,-0.01,-0.03,0.04,165.38,-99.61,14046.0,0.0
-8.76,0.27,-2.42,0.41,-0.51,0.42,9.09,0.77,-9.28,0.52,-2.86,0.05,-0.1,0.04,173.57,-105.45,14250.0,0.0
-11.33,-2.19,-4.31,-0.93,-0.44,0.28,12.32,1.06,-9.18,0.47,-2.77,0.12,-0.18,0.12,-153.05,-110.84,14454.0,0.0
-9.97,0.49,2.04,-0.63,-2.02,-0.53,10.19,2.18,-9.61,-0.06,-3.08,-0.09,-0.23,0.15,13.54,-78.45,214.0,0.0
-6.78,-0.11,4.03,-0.4,-1.4,-0.79,7.89,1.66,-9.68,0.05,-2.05,-0.2,-0.59,0.01,-1.5,-59.26,418.0,0.0
-12.02,-2.84,7.69,-0.3,2.71,-0.97,14.55,2.9,-9.1,0.02,-0.84,-0.24,-0.75,-0.15,-20.27,-57.41,622.0,0.0
-9.32,-0.36,2.57,1.09,-1.43,-0.13,9.68,1.8,-9.69,-0.55,0.87,-0.25,-0.06,-0.31,-7.97,-74.61,826.0,0.0
-6.93,-5.1,5.03,-0.38,-0.52,-0.05,9.96,0.64,-9.61,-0.51,1.21,0.02,-0.33,-0.28,-45.45,-54.04,1030.0,0.0
-2.82,-1.77,6.33,-1.14,-2.49,-0.98,7.15,2.9,-9.08,-1.43,1.97,-0.06,-0.37,-0.23,-15.6,-23.99,1234.0,0.0
-1.23,-0.41,8.68,-0.7,0.34,1.92,8.77,2.07,-7.82,-1.5,2.84,-0.28,-0.79,-0.38,-2.7,-8.06,1438.0,0.0
-2.96,-4.99,11.34,-0.74,1.29,1.01,12.74,1.8,-6.5,-1.28,4.01,-0.36,-0.57,0.08,-23.76,-14.62,1642.0,0.0
-3.17,-3.77,8.49,-0.41,0.36,-0.22,9.81,0.59,-5.8,-2.02,5.48,-0.44,-0.19,0.27,-23.94,-20.45,1846.0,0.0
-3.38,-4.76,9.0,-1.02,0.43,0.36,10.73,1.16,-5.27,-2.37,6.08,-0.43,-0.08,0.17,-27.88,-20.58,2050.0,0.0
-4.41,-5.03,7.73,-1.3,-0.13,1.04,10.23,1.67,-4.89,-2.85,6.66,-0.55,0.02,0.21,-33.04,-29.7,2254.0,0.0
-4.58,-3.65,7.15,-0.55,-0.89,0.61,9.24,1.21,-4.8,-3.29,6.88,-0.7,-0.01,0.37,-27.05,-32.64,2458.0,0.0
-4.31,-2.49,7.96,0.02,-0.62,0.57,9.39,0.84,-4.75,-3.36,6.93,-0.67,-0.19,0.42,-17.35,-28.46,2662.0,0.0
-4.47,-5.09,6.75,0.21,0.05,-0.8,9.56,0.83,-4.66,-3.18,7.14,-0.53,-0.27,0.45,-37.03,-33.48,2866.0,0.0
-1.48,-1.96,7.56,1.89,1.34,0.77,7.95,2.44,-4.62,-3.57,7.06,-0.38,-0.21,0.2,-14.54,-11.08,3070.0,0.0
-2.78,-0.4,9.97,-0.32,0.33,0.9,10.36,1.01,-4.0,-3.25,7.16,0.07,0.1,0.32,-2.3,-15.57,3274.0,0.0
-5.06,0.6,10.19,-1.7,-0.43,0.5,11.39,1.82,-3.75,-2.68,7.72,-0.01,0.15,0.43,3.35,-26.39,3478.0,0.0
-6.22,-1.3,7.86,-0.72,-0.67,4.37,10.11,4.48,-4.01,-2.02,8.22,-0.34,0.03,0.44,-9.39,-38.39,3682.0,0.0
-4.88,-1.32,9.46,-1.59,-1.97,0.13,10.73,2.54,-4.46,-1.88,8.14,-0.42,-0.11,1.23,-7.97,-27.29,3886.0,0.0
-3.67,-1.87,10.15,0.59,-0.17,-0.71,10.95,0.94,-4.54,-1.77,8.41,-0.65,-0.48,1.01,-10.42,-19.87,4090.0,0.0
1.13,-0.86,7.9,-0.7,-3.91,-1.99,8.02,4.44,-4.37,-1.79,8.76,-0.41,-0.42,0.66,-6.23,8.13,4294.0,0.0
-1.89,-3.9,9.38,-0.44,-1.22,0.29,10.34,1.33,-3.27,-1.6,8.58,-0.46,-1.12,0.13,-22.6,-11.4,4498.0,0.0
-0.36,-4.11,8.58,-0.24,-2.11,-0.13,9.52,2.13,-2.99,-2.06,8.74,-0.46,-1.14,0.16,-25.59,-2.4,4702.0,0.0
0.43,-5.67,7.99,0.2,0.57,0.14,9.8,0.62,-2.47,-2.47,8.71,-0.42,-1.33,0.11,-35.36,3.07,4906.0,0.0
-1.99,-4.4,8.26,0.55,0.85,-1.29,9.57,1.64,-1.89,-3.11,8.57,-0.29,-0.95,0.11,-28.04,-13.57,5110.0,1.0
-0.49,-2.69,9.41,-0.56,-2.53,0.01,9.8,2.59,-1.91,-3.37,8.51,-0.12,-0.59,-0.17,-15.95,-3.0,7314.0,1.0
-0.74,-3.28,9.4,-0.12,-0.01,-0.03,9.98,0.12,-1.63,-3.23,8.69,-0.21,-0.98,-0.13,-19.22,-4.47,7518.0,0.0
-0.61,-3.24,9.04,0.01,0.23,0.02,9.62,0.23,-1.45,-3.24,8.83,-0.19,-0.79,-0.11,-19.71,-3.84,7722.0,0.0
-1.77,-3.66,8.07,-0.47,-1.07,0.21,9.04,1.19,-1.28,-3.24,8.87,-0.15,-0.58,-0.08,-24.41,-12.38,7926.0,0.0
-2.76,-3.56,8.6,0.59,0.62,0.03,9.71,0.86,-1.38,-3.32,8.71,-0.22,-0.68,-0.03,-22.47,-17.78,8130.0,0.0
